ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID,country_name,continent
1,Gustavo Kuerten,1976-09-10,BRA,,,,,,,,,,,,14807000.0,,,,,,,,"Brazil, Federative Republic of",South America
2,Marat Safin,1980-01-27,RUS,,,,,,,,,,,,14373291.0,,,,,,,,Russian Federation,Asia
3,Andre Agassi,1970-04-29,USA,,,,,,,,,,,,31152975.0,,,,,,,,United States of America,North America
4,Pete Sampras,1971-08-12,USA,,,,,,,,,,,,43280489.0,,,,,,,,United States of America,North America
5,Magnus Norman,1976-05-30,SWE,,,,,,,,,,,,4537247.0,,,,,,,,"Sweden, Kingdom of",Europe
6,Yevgeny Kafelnikov,1974-02-18,RUS,,,,,,,,,,,,23883797.0,,,,,,,,Russian Federation,Asia
7,Lleyton Hewitt,1981-02-24,AUS,,,,,,,,,,,,20889965.0,,,,,,,,"Australia, Commonwealth of",Oceania
8,Patrick Rafter,1972-12-28,AUS,,,,,,,,,,,,11133128.0,,,,,,,,"Australia, Commonwealth of",Oceania
9,Tim Henman,1974-09-06,GBR,,,,,,,,,,,,11635542.0,,,,,,,,United Kingdom of Great Britain & Northern Ireland,Europe
10,Juan Carlos Ferrero,1980-02-12,ESP,,,,,,,,,,,,13998165.0,,,,,,,,"Spain, Kingdom of",Europe
11,Alex Corretja,1974-04-11,ESP,,,,,,,,,,,,10411354.0,,,,,,,,"Spain, Kingdom of",Europe
12,Arnaud Clement,1977-12-17,FRA,,,,,,,,,,,,7125228.0,,,,,,,,"France, French Republic",Europe
13,Sebastien Grosjean,1978-05-29,FRA,,,,,,,,,,,,8131803.0,,,,,,,,"France, French Republic",Europe
14,Thomas Enqvist,1974-03-13,SWE,,,,,,,,,,,,10461641.0,,,,,,,,"Sweden, Kingdom of",Europe
15,Jan-Michael Gambill,1977-06-03,USA,,,,,,,,,,,,3612893.0,,,,,,,,United States of America,North America
16,Mark Philippoussis,1976-11-07,AUS,,,,,,,,,,,,6987402.0,,,,,,,,"Australia, Commonwealth of",Oceania
17,Franco Squillari,1975-08-22,ARG,,,,,,,,,,,,2504591.0,,,,,,,,"Argentina, Argentine Republic",South America
18,Dominik Hrbaty,1978-01-04,SVK,,,,,,,,,,,,7070095.0,,,,,,,,Slovakia (Slovak Republic),Europe
19,Roger Federer,1981-08-08,SUI,,,,,,,,,,,,130594339.0,,,,,,,,"Switzerland, Swiss Confederation",Europe
